0 116 144
1 124 159
2 131 170
3 135 180
4 144 194
5 153 203
6 171 205
7 185 202
8 195 196
9 199 184
10 206 171
11 210 158
12 214 145
13 206 108
14 207 102
15 200 97
16 189 100
17 184 104
18 188 113
19 197 112
20 203 112
21 120 108
22 124 100
23 134 97
24 144 100
25 146 106
26 140 113
27 131 114
28 125 111
29 176 98
30 185 92
31 193 89
32 202 91
33 211 95
34 154 97
35 142 93
36 132 91
37 125 94
38 118 98
39 143 166
40 150 160
41 167 157
42 179 158
43 192 161
44 185 174
45 166 182
46 151 177
47 151 120
48 147 127
49 144 136
50 147 142
51 156 148
52 166 149
53 179 147
54 185 138
55 183 131
56 182 127
57 177 121
58 157 166
59 168 165
60 178 162
61 165 168
62 175 168
