0 117 150
1 125 165
2 132 176
3 136 186
4 145 200
5 154 209
6 172 211
7 186 208
8 196 202
9 200 190
10 207 177
11 211 164
12 215 151
13 207 114
14 208 108
15 199 106
16 188 107
17 179 112
18 190 116
19 198 118
20 204 118
21 126 113
22 125 106
23 135 103
24 145 106
25 147 112
26 141 119
27 133 119
28 129 115
29 177 104
30 183 99
31 194 95
32 203 96
33 212 101
34 155 103
35 143 99
36 133 97
37 126 100
38 119 104
39 143 174
40 152 167
41 166 163
42 178 164
43 190 172
44 186 184
45 168 193
46 151 184
47 152 126
48 152 135
49 146 142
50 148 148
51 156 151
52 169 155
53 179 152
54 185 149
55 183 142
56 183 133
57 178 127
58 157 170
59 167 167
60 175 171
61 162 175
62 172 176
