0 114 147
1 122 162
2 129 173
3 133 183
4 142 197
5 151 206
6 169 208
7 183 205
8 193 199
9 197 187
10 204 174
11 208 161
12 212 148
13 204 111
14 205 105
15 198 100
16 187 103
17 182 107
18 186 116
19 195 115
20 201 115
21 122 111
22 122 103
23 132 100
24 142 103
25 144 109
26 138 116
27 129 117
28 125 115
29 183 95
30 191 92
31 199 90
32 208 89
33 215 93
34 143 90
35 135 86
36 126 87
37 117 89
38 113 94
39 140 172
40 151 164
41 164 162
42 177 162
43 190 170
44 183 181
45 164 186
46 150 181
47 149 123
48 145 130
49 142 139
50 145 145
51 153 148
52 165 147
53 174 146
54 183 141
55 181 134
56 180 130
57 175 124
58 157 171
59 165 170
60 172 171
61 161 175
62 170 176
