0 114 148
1 122 163
2 129 174
3 133 184
4 142 198
5 151 207
6 169 209
7 183 206
8 193 200
9 197 188
10 204 175
11 208 162
12 212 149
13 204 112
14 205 106
15 198 101
16 187 104
17 182 108
18 186 117
19 195 116
20 201 116
21 118 112
22 122 104
23 132 101
24 142 104
25 144 110
26 138 117
27 129 118
28 123 115
29 174 102
30 183 96
31 191 93
32 200 95
33 209 99
34 152 101
35 140 97
36 130 95
37 123 98
38 116 102
39 141 172
40 149 161
41 164 159
42 178 160
43 190 169
44 183 182
45 166 184
46 148 182
47 153 128
48 150 132
49 146 137
50 143 146
51 153 149
52 165 148
53 174 147
54 183 142
55 181 135
56 178 131
57 175 125
58 156 170
59 165 169
60 176 168
61 160 173
62 171 173
