0 113 150
1 121 165
2 128 176
3 132 186
4 141 200
5 150 209
6 168 211
7 182 208
8 192 202
9 196 190
10 203 177
11 207 164
12 211 151
13 207 109
14 202 101
15 193 99
16 186 97
17 176 105
18 185 114
19 192 113
20 197 112
21 114 104
22 118 99
23 128 94
24 138 99
25 146 104
26 140 112
27 132 116
28 122 113
29 172 99
30 181 95
31 193 92
32 203 93
33 209 97
34 150 95
35 138 91
36 127 88
37 117 92
38 109 96
39 130 163
40 147 161
41 164 158
42 178 160
43 195 159
44 182 184
45 164 193
46 147 184
47 148 126
48 144 133
49 144 140
50 147 144
51 151 149
52 163 150
53 173 149
54 180 141
55 179 136
56 179 133
57 174 127
58 153 169
59 163 170
60 172 170
61 157 175
62 168 174
